date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:05	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2010:59:06%20GMT	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-bio-bg1.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-bio-bg1.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/assets/styles.css?_build=1564483997)
13:59:06	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2010:59:07%20GMT	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-home-bg2.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-home-bg2.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/assets/styles.css?_build=1564483997)
13:59:06	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2010:59:07%20GMT	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-home-bg1.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-home-bg1.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/assets/styles.css?_build=1564483997)
13:59:07	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2010:59:08%20GMT	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-home-slider1.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2015/03/mt-0016-home-slider1.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/assets/styles.css?_build=1564483997)
13:59:16	250951/250951	---M--	200	added ('OK')	image/jpeg	etag:%225d48067e-3d447%22	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-home-parallax1.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-home-parallax1.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/assets/styles.css?_build=1564483997)
13:59:24	97980/97980	---M--	200	added ('OK')	image/jpeg	etag:%225d48067e-17ebc%22	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-img2.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-img2.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/gallery/)
13:59:27	61533/61533	---M--	200	added ('OK')	image/jpeg	etag:%225d48067e-f05d%22	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-small9.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-small9.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/gallery/)
13:59:33	33924/33924	---M--	200	added ('OK')	image/jpeg	etag:%225d48067e-8484%22	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-img3.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-img3.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/gallery/)
13:59:33	53070/53070	---M--	200	added ('OK')	image/jpeg	etag:%225d48067e-cf4e%22	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-small10.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-small10.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/gallery/)
13:59:33	156668/156668	---M--	200	added ('OK')	image/jpeg	etag:%225d48067e-263fc%22	http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-img1.jpg	C:/My%20Web%20Sites/cgaa/try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/mt-content/uploads/2016/02/mt-0347-gallery-img1.jpg	(from http://try.trial.cms-guide.com/site/02/00p/q1/0200pq12tuwwgjlg/gallery/)
